# Fiwo Derived Dictionary — 1727 entries
# GENERATED from Canon/derived_lexicon.json by Tools/build.py — do not edit by hand
#
# One entry per line, pipe-delimited, grouped by part of speech:
#   word | root + derivation | English key | definition
#
# The English in column 3 is a LOOKUP KEY, not a translation. Fiwo roots do not map
# one-to-one onto English words — the definition in column 4 is the actual meaning, and it is often
# narrower, wider, or differently cut than the English key suggests.
# Read the definition before using a word. If no definition covers the concept you
# want, say so and build a Rule 36 compound; never stretch a key to fit.

=== Biological Noun — 299 entries ===
abecoa | abeco o→a | Pilot | A person who flies a plane; a pilot. [Concrete Noun -> Biological Noun (handler)] Senses: 1) pilot
dangui | dangu u→i | to take a vacation | To take a vacation; to spend time on holiday. [Abstract Noun -> Verb (feel/enact)] Senses: 1) to take a vacation
daqei | daqe e→i | To be his (male | Stative: to be or become his (male. [Modifier -> Verb (stative)] Senses: 1) to be his (male; 2) to become his (male
dasei | dase e→i | To be hers (female | Stative: to be or become hers (female. [Modifier -> Verb (stative)] Senses: 1) to be hers (female; 2) to become hers (female
deluflui | deluflu u→i | Budget / To budget | To plan how available money will be spent. [Abstract Noun -> Verb (feel/enact)] Senses: 1) budget; 2) plan spending
dewei | dewe e→i | To be two | Stative: to be or become two. [Modifier -> Verb (stative)] Senses: 1) to be two; 2) to become two
didei | dide e→i | To be certain | Stative: to be or become certain. [Modifier -> Verb (stative)] Senses: 1) to be certain; 2) to become certain
difoi | difo o→i | To melt | To become liquid; to melt or liquefy. [Concrete Noun -> Verb (use/apply)] Senses: 1) to melt; 2) to liquefy
dikoei | diko o→e→i | To be solid | Stative: to be or become solid. [Concrete Noun -> Modifier -> Verb (stative)] Senses: 1) to be solid; 2) to become solid
disoei | diso o→e→i | To be gaseous | Stative: to be or become gaseous. [Concrete Noun -> Modifier -> Verb (stative)] Senses: 1) to be gaseous; 2) to become gaseous
domloei | domlo o→e→i | To be rainy | Stative: to be or become rainy. [Concrete Noun -> Modifier -> Verb (stative)] Senses: 1) to be rainy; 2) to become rainy
domloi | domlo o→i | To rain | To fall as rain. [Concrete Noun -> Verb (use/apply)] Senses: 1) to rain
dorsoei | dorso o→e→i | To be wet / watery | Stative: to be or become wet. [Concrete Noun -> Modifier -> Verb (stative)] Senses: 1) to be wet; 2) to become wet
dorsoi | dorso o→i | To water | To pour water on; to water (plants, animals). [Concrete Noun -> Verb (use/apply)] Senses: 1) water; 2) irrigate
dotei | dote e→i | To be strong | Stative: to be or become strong. [Modifier -> Verb (stative)] Senses: 1) to be strong; 2) to become strong
drabei | drabe e→i | To be one hundred | Stative: to be or become one hundred. [Modifier -> Verb (stative)] Senses: 1) to be one hundred; 2) to become one hundred
duluxrai | duluxra a→i | Immigrate | To move into a country in order to settle there. [Biological Noun -> Verb (act as)] Senses: 1) immigrate; 2) migrate to
dupei | dupe e→i | To be deep | Stative: to be or become deep. [Modifier -> Verb (stative)] Senses: 1) to be deep; 2) to become deep
dzupakai | dzupaka a→i | To rule / To reign | To hold and exercise sovereign authority. [Biological Noun -> Verb (act as)] Senses: 1) rule; 2) reign; 3) govern
ebxei | ebxe e→i | To be cruel | Stative: to be or become cruel. [Modifier -> Verb (stative)] Senses: 1) to be cruel; 2) to become cruel
ecmei | ecme e→i | To be humble | Stative: to be or become humble. [Modifier -> Verb (stative)] Senses: 1) to be humble; 2) to become humble
efadei | efade e→i | To be hardworking | Stative: to be or become hardworking. [Modifier -> Verb (stative)] Senses: 1) to be hardworking; 2) to become hardworking
egdei | egde e→i | To be sober | Stative: to be or become sober. [Modifier -> Verb (stative)] Senses: 1) to be sober; 2) to become sober
egmabei | egmabe e→i | To be one thousand | Stative: to be or become one thousand. [Modifier -> Verb (stative)] Senses: 1) to be one thousand; 2) to become one thousand
elgei | elge e→i | To be honest | Stative: to be or become honest. [Modifier -> Verb (stative)] Senses: 1) to be honest; 2) to become honest
emfei | emfe e→i | To be fresh | Stative: to be or become fresh. [Modifier -> Verb (stative)] Senses: 1) to be fresh; 2) to become fresh
enei | ene e→i | To be light (weight | Stative: to be or become light (weight. [Modifier -> Verb (stative)] Senses: 1) to be light (weight; 2) to become light (weight
epiwui | epiwu u→i | To act | To take action; to act, to do. [Abstract Noun -> Verb (feel/enact)] Senses: 1) act; 2) take action
eqsoi | eqso o→i | To spit | To eject saliva from the mouth; to spit. [Concrete Noun -> Verb (use/apply)] Senses: 1) spit
espei | espe e→i | To be specific | Stative: to be or become specific. [Modifier -> Verb (stative)] Senses: 1) to be specific; 2) to become specific
evlei | evle e→i | To be sometimes | Stative: to be or become sometimes. [Modifier -> Verb (stative)] Senses: 1) to be sometimes; 2) to become sometimes
exkei | exke e→i | To be several | Stative: to be or become several. [Modifier -> Verb (stative)] Senses: 1) to be several; 2) to become several
eztei | ezte e→i | To be polite | Stative: to be or become polite. [Modifier -> Verb (stative)] Senses: 1) to be polite; 2) to become polite
fafei | fafe e→i | To be important | Stative: to be or become important. [Modifier -> Verb (stative)] Senses: 1) to be important; 2) to become important
falfosoi | falfoso o→i | To list | To set out items as a list; to enumerate. [Concrete Noun -> Verb (use/apply)] Senses: 1) list; 2) enumerate
fecyei | fecy y→e→i | To be bounded / lasting until a limit | Stative: to be or become bounded. [Preposition -> Modifier -> Verb (stative)] Senses: 1) to be bounded; 2) to become bounded
fei | fe e→i | To be very | Stative: to be or become very. [Modifier -> Verb (stative)] Senses: 1) to be very; 2) to become very
felpei | felpe e→i | To be different | Stative: to be or become different. [Modifier -> Verb (stative)] Senses: 1) to be different; 2) to become different
fijai | fija a→i | To hear | To perceive sound with the ear. [Biological Noun (organ) -> Verb (use the organ)] Senses: 1) to hear; 2) to perceive sound
finei | fine e→i | To be fine | Stative: to be or become fine. [Modifier -> Verb (stative)] Senses: 1) to be fine; 2) to become fine
fiskei | fiske e→i | To be recently | Stative: to be or become recently. [Modifier -> Verb (stative)] Senses: 1) to be recently; 2) to become recently
flaxadoi | flaxado o→i | Bandage / To bandage | To wrap a wound with a bandage. [Concrete Noun -> Verb (use/apply)] Senses: 1) bandage; 2) dress a wound
fogei | foge e→i | To be comfortable | Stative: to be or become comfortable. [Modifier -> Verb (stative)] Senses: 1) to be comfortable; 2) to become comfortable
foisoi | foiso o→i | To build | To build or construct a structure. [Concrete Noun -> Verb (use/apply)] Senses: 1) to build; 2) to construct
fomentui | fomentu u→i | To produce / To manufacture | To make goods at scale. [Abstract Noun -> Verb (feel/enact)] Senses: 1) produce; 2) manufacture; 3) mass-produce
fosei | fose e→i | To be that | Stative: to be or become that. [Modifier -> Verb (stative)] Senses: 1) to be that; 2) to become that
framei | frame e→i | To be free | Stative: to be or become free. [Modifier -> Verb (stative)] Senses: 1) to be free; 2) to become free
fricei | frice e→i | To be deaf | Stative: to be or become deaf. [Modifier -> Verb (stative)] Senses: 1) to be deaf; 2) to become deaf
fruvadui | fruvadu u→i | To disappoint | To produce disappointment in someone; to let down. [Abstract Noun -> Verb (feel/enact)] Senses: 1) disappoint
fuqei | fuqe e→i | To be must | Stative: to be or become must. [Modifier -> Verb (stative)] Senses: 1) to be must; 2) to become must
fyjebei | fyjebe e→i | To be warm | Stative: to be or become warm. [Modifier -> Verb (stative)] Senses: 1) to be warm; 2) to become warm
gawei | gawe e→i | To be good | Stative: to be or become good. [Modifier -> Verb (stative)] Senses: 1) to be good; 2) to become good
gealei | geale e→i | To be actually | Stative: to be or become actually. [Modifier -> Verb (stative)] Senses: 1) to be actually; 2) to become actually
gepei | gepe e→i | To be general | Stative: to be or become general. [Modifier -> Verb (stative)] Senses: 1) to be general; 2) to become general
gerotei | gerote e→i | To be shallow | Stative: to be or become shallow. [Modifier -> Verb (stative)] Senses: 1) to be shallow; 2) to become shallow
gihoflui | gihoflu u→i | To limit | To set a limit on; to restrict. [Abstract Noun -> Verb (feel/enact)] Senses: 1) to limit; 2) to restrict
gizei | gize e→i | To be full | Stative: to be or become full. [Modifier -> Verb (stative)] Senses: 1) to be full; 2) to become full
glapei | glape e→i | To be gray | Stative: to be or become gray. [Modifier -> Verb (stative)] Senses: 1) to be gray; 2) to become gray
glecei | glece e→i | To be which (interrogative | Stative: to be or become which (interrogative. [Modifier -> Verb (stative)] Senses: 1) to be which (interrogative; 2) to become which (interrogative
glokei | gloke e→i | To be four | Stative: to be or become four. [Modifier -> Verb (stative)] Senses: 1) to be four; 2) to become four
goilei | goile e→i | To be sad | Stative: to be or become sad. [Modifier -> Verb (stative)] Senses: 1) to be sad; 2) to become sad
goqei | goqe e→i | To be thick | Stative: to be or become thick. [Modifier -> Verb (stative)] Senses: 1) to be thick; 2) to become thick
gruvesei | gruvese e→i | To modernize | To make or become modern. [Modifier -> Verb (stative)] Senses: 1) to modernize; 2) to be modern
gurei | gure e→i | To be lazy | Stative: to be or become lazy. [Modifier -> Verb (stative)] Senses: 1) to be lazy; 2) to become lazy
gykei | gyke e→i | To be weird | Stative: to be or become weird. [Modifier -> Verb (stative)] Senses: 1) to be weird; 2) to become weird
haibei | haibe e→i | To be still | Stative: to be or become still. [Modifier -> Verb (stative)] Senses: 1) to be still; 2) to become still
hemyei | hemy y→e→i | To be near / close | Stative: to be or become near. [Preposition -> Modifier -> Verb (stative)] Senses: 1) to be near; 2) to become near
hemyi | hemy y→i | To approach | To move near; to approach. [Preposition -> Verb (relational motion)] Senses: 1) approach; 2) near
hezeskai | hezeska a→i | To mimic | To imitate or copy someone's speech or actions; to mimic, parrot. [Biological Noun -> Verb (act as)] Senses: 1) mimic; 2) imitate; 3) parrot
hiarucei | hiaruce e→i | To be one million | Stative: to be or become one million. [Modifier -> Verb (stative)] Senses: 1) to be one million; 2) to become one million
hiqei | hiqe e→i | To be factually correct | Stative: to be or become factually correct. [Modifier -> Verb (stative)] Senses: 1) to be factually correct; 2) to become factually correct
hobei | hobe e→i | To be young | Stative: to be or become young. [Modifier -> Verb (stative)] Senses: 1) to be young; 2) to become young
huhei | huhe e→i | To be extremely | Stative: to be or become extremely. [Modifier -> Verb (stative)] Senses: 1) to be extremely; 2) to become extremely
hutsei | hutse e→i | To be main | Stative: to be or become main. [Modifier -> Verb (stative)] Senses: 1) to be main; 2) to become main
hymei | hyme e→i | To be habitually | Stative: to be or become habitually. [Modifier -> Verb (stative)] Senses: 1) to be habitually; 2) to become habitually
hytrei | hytre e→i | To be sleepy | Stative: to be or become sleepy. [Modifier -> Verb (stative)] Senses: 1) to be sleepy; 2) to become sleepy
ialei | iale e→i | To be special | Stative: to be or become special. [Modifier -> Verb (stative)] Senses: 1) to be special; 2) to become special
ibanei | ibane e→i | To be significant | Stative: to be or become significant. [Modifier -> Verb (stative)] Senses: 1) to be significant; 2) to become significant
idrei | idre e→i | To be quarter | Stative: to be or become quarter. [Modifier -> Verb (stative)] Senses: 1) to be quarter; 2) to become quarter
ifgoi | ifgo o→i | To brush teeth | To clean the teeth with a toothbrush. [Concrete Noun -> Verb (use/apply)] Senses: 1) brush teeth
ijyrai | ijyra a→i | To wag | To wag or swish, as a tail. [Biological Noun -> Verb (act as)] Senses: 1) to wag
isnei | isne e→i | To be naked | Stative: to be or become naked. [Modifier -> Verb (stative)] Senses: 1) to be naked; 2) to become naked
itolei | itole e→i | To be smart | Stative: to be or become smart. [Modifier -> Verb (stative)] Senses: 1) to be smart; 2) to become smart
itsei | itse e→i | To be single | Stative: to be or become single. [Modifier -> Verb (stative)] Senses: 1) to be single; 2) to become single
iubui | iubu u→i | To fail | To meet with failure; to fail. [Abstract Noun -> Verb (feel/enact)] Senses: 1) fail
ivxoi | ivxo o→i | To hammer | To strike or drive with a hammer. [Concrete Noun -> Verb (use/apply)] Senses: 1) hammer; 2) pound
iwei | iwe e→i | To be tired | Stative: to be or become tired. [Modifier -> Verb (stative)] Senses: 1) to be tired; 2) to become tired
ixgei | ixge e→i | To be slippery | Stative: to be or become slippery. [Modifier -> Verb (stative)] Senses: 1) to be slippery; 2) to become slippery
jabei | jabe e→i | To be cold | Stative: to be or become cold. [Modifier -> Verb (stative)] Senses: 1) to be cold; 2) to become cold
jawoi | jawo o→i | To freeze | To turn to ice; to freeze — intransitive/stative, the subject itself becomes ice. [Concrete Noun -> Verb (transform into)] Senses: 1) to freeze; 2) to turn to ice; 3) to ice over (Usage: Intransitive/stative (the thing becomes ice): Dorsop jawoid = 'the water froze'. The transitive 'to freeze something' is analytic with the causative lini (Rule 31): Jabeup linid tep dorsop jawoi ('coldness made the water freeze'; note jabeu, the noun, not the modifier jabe). Canon: How to say that, Freeze & Melt (Ruling Q18e).)
jaxkei | jaxke e→i | To be new | Stative: to be or become new. [Modifier -> Verb (stative)] Senses: 1) to be new; 2) to become new
jedlei | jedle e→i | To be many | Stative: to be or become many. [Modifier -> Verb (stative)] Senses: 1) to be many; 2) to become many
jeflui | jeflu u→i | To develop | To bring about or undergo development. [Abstract Noun -> Verb (enact)] Senses: 1) to develop; 2) to grow; 3) to advance; 4) to evolve
jei | je e→i | To be plural marker | Stative: to be or become plural marker. [Modifier -> Verb (stative)] Senses: 1) to be plural marker; 2) to become plural marker
jemei | jeme e→i | To be most | Stative: to be or become most. [Modifier -> Verb (stative)] Senses: 1) to be most; 2) to become most
jetei | jete e→i | To increase | To increase; to make or become greater in amount, number, or degree (transitive or stative). [Modifier -> Verb] Senses: 1) to increase; 2) to raise; 3) to make more; 4) to become more
jilfei | jilfe e→i | To be smooth | Stative: to be or become smooth. [Modifier -> Verb (stative)] Senses: 1) to be smooth; 2) to become smooth
jokuwui | jokuwu u→i | To vote | To cast a vote; to vote. [Abstract Noun -> Verb (feel/enact)] Senses: 1) vote
jotsei | jotse e→i | To be clean | Stative: to be or become clean. [Modifier -> Verb (stative)] Senses: 1) to be clean; 2) to become clean
jozei | joze e→i | To be long | Stative: to be or become long. [Modifier -> Verb (stative)] Senses: 1) to be long; 2) to become long
jucei | juce e→i | To be heavy | Stative: to be or become heavy. [Modifier -> Verb (stative)] Senses: 1) to be heavy; 2) to become heavy
junui | junu u→i | To plan | To make a plan; to plan. [Abstract Noun -> Verb (feel/enact)] Senses: 1) plan
juwei | juwe e→i | To be only | Stative: to be or become only. [Modifier -> Verb (stative)] Senses: 1) to be only; 2) to become only
jyfei | jyfe e→i | To be patient | Stative: to be or become patient. [Modifier -> Verb (stative)] Senses: 1) to be patient; 2) to become patient
jyi | jy y→i | To integrate | To become part of a whole; to integrate, join into. [Preposition -> Verb (relational motion)] Senses: 1) integrate; 2) join into
kabcei | kabce e→i | To be simple | Stative: to be or become simple. [Modifier -> Verb (stative)] Senses: 1) to be simple; 2) to become simple
kamei | kame e→i | To be salty | Stative: to be or become salty. [Modifier -> Verb (stative)] Senses: 1) to be salty; 2) to become salty
kasei | kase e→i | To be any | Stative: to be or become any. [Modifier -> Verb (stative)] Senses: 1) to be any; 2) to become any
keanei | keane e→i | To be whole | Stative: to be or become whole. [Modifier -> Verb (stative)] Senses: 1) to be whole; 2) to become whole
kedovoi | kedovo o→i | Fund / To fund | To provide money for a purpose. [Concrete Noun -> Verb (use/apply)] Senses: 1) fund; 2) finance
kehului | kehulu u→i | to be a family | To form or make up a family together; to be bound as family. [Abstract Noun -> Verb (feel/enact)] Senses: 1) to be a family
keqei | keqe e→i | To be native | Stative: to be or become native. [Modifier -> Verb (stative)] Senses: 1) to be native; 2) to become native
kezoi | kezo o→i | To oil | To apply oil to; to lubricate. [Concrete Noun -> Verb (use/apply)] Senses: 1) oil; 2) lubricate
kipesloi | kipeslo o→i | Vaccinate | To give someone a vaccine against a disease. [Concrete Noun -> Verb (use/apply)] Senses: 1) vaccinate; 2) immunize
kixilkui | kixilku u→i | Swear / Take an oath | To make a solemn, binding promise. [Abstract Noun -> Verb (feel/enact)] Senses: 1) swear; 2) take an oath; 3) vow
kluxei | kluxe e→i | To be quiet | Stative: to be or become quiet. [Modifier -> Verb (stative)] Senses: 1) to be quiet; 2) to become quiet
kowetei | kowete e→i | To be cyan | To be cyan-colored. [Modifier -> Verb (stative)] Senses: 1) be cyan
koxei | koxe e→i | To be bitter | Stative: to be or become bitter. [Modifier -> Verb (stative)] Senses: 1) to be bitter; 2) to become bitter
krembai | kremba a→i | to keep as a pet | To keep as a pet; to tame or domesticate an animal for companionship. [Biological Noun -> Verb (act as)] Senses: 1) to keep as a pet
kromei | krome e→i | To be brown | Stative: to be or become brown. [Modifier -> Verb (stative)] Senses: 1) to be brown; 2) to become brown
kuatei | kuate e→i | To be crooked | Stative: to be or become crooked. [Modifier -> Verb (stative)] Senses: 1) to be crooked; 2) to become crooked
kukylui | kukylu u→i | Profit / To profit | To gain money after costs are subtracted; to benefit financially. [Abstract Noun -> Verb (feel/enact)] Senses: 1) profit; 2) make a profit
kuvysui | kuvysu u→i | To police / To patrol | To keep order as the police do. [Abstract Noun -> Verb (feel/enact)] Senses: 1) police; 2) patrol; 3) enforce order
kypei | kype e→i | To be happy | Stative: to be or become happy. [Modifier -> Verb (stative)] Senses: 1) to be happy; 2) to become happy
labnei | labne e→i | To be same | Stative: to be or become same. [Modifier -> Verb (stative)] Senses: 1) to be same; 2) to become same
lakiroi | lakiro o→i | To photograph | To take a picture of; to photograph. [Concrete Noun -> Verb (use/apply)] Senses: 1) photograph
lamsoi | lamso o→i | To milk | To draw milk from an animal; to milk. [Concrete Noun -> Verb (use/apply)] Senses: 1) milk
landei | lande e→i | To be small | Stative: to be or become small. [Modifier -> Verb (stative)] Senses: 1) to be small; 2) to become small
latei | late e→i | To be all | Stative: to be or become all. [Modifier -> Verb (stative)] Senses: 1) to be all; 2) to become all
lebykoi | lebyko o→i | To title | To give a title or heading to a work. [Concrete Noun -> Verb (use/apply)] Senses: 1) to title; 2) to entitle
lefei | lefe e→i | To be hard | Stative: to be or become hard. [Modifier -> Verb (stative)] Senses: 1) to be hard; 2) to become hard
lerei | lere e→i | To be ten | Stative: to be or become ten. [Modifier -> Verb (stative)] Senses: 1) to be ten; 2) to become ten
letsei | letse e→i | To be dirty | Stative: to be or become dirty. [Modifier -> Verb (stative)] Senses: 1) to be dirty; 2) to become dirty
leupei | leupe e→i | To be red | Stative: to be or become red. [Modifier -> Verb (stative)] Senses: 1) to be red; 2) to become red
liamei | liame e→i | To be pink | Stative: to be or become pink. [Modifier -> Verb (stative)] Senses: 1) to be pink; 2) to become pink
libywui | libywu u→i | To give to charity | To give money or goods to those in need. [Abstract Noun -> Verb (feel/enact)] Senses: 1) give to charity; 2) donate charitably
lienei | liene e→i | To be even | Stative: to be or become even. [Modifier -> Verb (stative)] Senses: 1) to be even; 2) to become even
litoi | lito o→i | To shine | To give off light; to shine or glow. [Concrete Noun -> Verb (use/apply)] Senses: 1) to shine; 2) to glow
lixei | lixe e→i | To be wet | Stative: to be or become wet. [Modifier -> Verb (stative)] Senses: 1) to be wet; 2) to become wet
loagei | loage e→i | To be blue | Stative: to be or become blue. [Modifier -> Verb (stative)] Senses: 1) to be blue; 2) to become blue
localei | locale e→i | To be local | Stative: to be or become local. [Modifier -> Verb (stative)] Senses: 1) to be local; 2) to become local
locwei | locwe e→i | To be white | Stative: to be or become white. [Modifier -> Verb (stative)] Senses: 1) to be white; 2) to become white
lomei | lome e→i | To be narrow | Stative: to be or become narrow. [Modifier -> Verb (stative)] Senses: 1) to be narrow; 2) to become narrow
lopei | lope e→i | To be blunt | Stative: to be or become blunt. [Modifier -> Verb (stative)] Senses: 1) to be blunt; 2) to become blunt
loskei | loske e→i | To be yellow | Stative: to be or become yellow. [Modifier -> Verb (stative)] Senses: 1) to be yellow; 2) to become yellow
luarei | luare e→i | To be green | Stative: to be or become green. [Modifier -> Verb (stative)] Senses: 1) to be green; 2) to become green
lugei | luge e→i | To be able | Stative: to be or become able. [Modifier -> Verb (stative)] Senses: 1) to be able; 2) to become able
lumbei | lumbe e→i | To be rarely | Stative: to be or become rarely. [Modifier -> Verb (stative)] Senses: 1) to be rarely; 2) to become rarely
luokei | luoke e→i | To be purple | Stative: to be or become purple. [Modifier -> Verb (stative)] Senses: 1) to be purple; 2) to become purple
lurubrai | lurubra a→i | Witness / To witness | To see an event so as to be able to report it. [Biological Noun -> Verb (act as)] Senses: 1) witness; 2) testify to
lusoi | luso o→i | To unlock | To open with a key; to unlock. [Concrete Noun -> Verb (use/apply)] Senses: 1) unlock
lysei | lyse e→i | To be right | Stative: to be or become right. [Modifier -> Verb (stative)] Senses: 1) to be right; 2) to become right
macei | mace e→i | To be possible | Stative: to be or become possible. [Modifier -> Verb (stative)] Senses: 1) to be possible; 2) to become possible
mafehei | mafehe e→i | To be perfect | Stative: to be complete and flawless. [Modifier -> Verb (stative)] Senses: 1) be perfect; 2) be flawless
magustui | magustu u→i | To enchant | To work magic upon; to enchant, cast magic. [Abstract Noun -> Verb (feel/enact)] Senses: 1) enchant; 2) cast magic
martei | marte e→i | To be eight | Stative: to be or become eight. [Modifier -> Verb (stative)] Senses: 1) to be eight; 2) to become eight
mehefoi | mehefo o→i | To navigate | To find and follow one's way; to navigate. [Concrete Noun -> Verb (use/apply)] Senses: 1) navigate
mikei | mike e→i | To be my | Stative: to be or become my. [Modifier -> Verb (stative)] Senses: 1) to be my; 2) to become my
mobloi | moblo o→i | To drive | To operate or travel by a vehicle. [Concrete Noun -> Verb (operate)] Senses: 1) to drive; 2) to operate a vehicle; 3) to ride
moskufui | moskufu u→i | To respect | To feel or show respect for; to respect. [Abstract Noun -> Verb (feel/enact)] Senses: 1) respect
motuwui | motuwu u→i | To grieve | To feel grief; to grieve, mourn. [Abstract Noun -> Verb (feel/enact)] Senses: 1) grieve; 2) mourn
movei | move e→i | To be vague | Stative: to be or become vague. [Modifier -> Verb (stative)] Senses: 1) to be vague; 2) to become vague
muilei | muile e→i | To be difficult | Stative: to be or become difficult. [Modifier -> Verb (stative)] Senses: 1) to be difficult; 2) to become difficult
mukei | muke e→i | To be our | Stative: to be or become our. [Modifier -> Verb (stative)] Senses: 1) to be our; 2) to become our
muwyzui | muwyzu u→i | To campaign | To conduct or take part in a campaign. [Abstract Noun -> Verb (feel/enact)] Senses: 1) to campaign
myi | my y→i | To contain | To hold or contain something within. [Preposition -> Verb (relational motion)] Senses: 1) to contain; 2) to enclose
nafikei | nafike e→i | To be together | Stative: to be or become together. [Modifier -> Verb (stative)] Senses: 1) to be together; 2) to become together
nailei | naile e→i | To be easy | Stative: to be or become easy. [Modifier -> Verb (stative)] Senses: 1) to be easy; 2) to become easy
nakei | nake e→i | To be our | Stative: to be or become our. [Modifier -> Verb (stative)] Senses: 1) to be our; 2) to become our
naralei | narale e→i | To be natural | Stative: to be or become natural. [Modifier -> Verb (stative)] Senses: 1) to be natural; 2) to become natural
nauxai | nauxa a→i | To befriend | To make friends with; to befriend. [Biological Noun -> Verb (act as)] Senses: 1) befriend
naverei | navere e→i | To be next | Stative: to be or become next. [Modifier -> Verb (stative)] Senses: 1) to be next; 2) to become next
necadroi | necadro o→i | Charge | To restore energy to a battery with a charger. [Concrete Noun -> Verb (use/apply)] Senses: 1) charge; 2) recharge
negoxrei | negoxre e→i | To be random | To be random or unpredictable. [Modifier -> Verb (stative)] Senses: 1) be random
nenojei | nenoje e→i | To be blind | Stative: to be or become blind. [Modifier -> Verb (stative)] Senses: 1) to be blind; 2) to become blind
neuqui | neuqu u→i | To disgust | To produce disgust in someone; to repulse. [Abstract Noun -> Verb (feel/enact)] Senses: 1) disgust
nicui | nicu u→i | To owe | To be under a debt or obligation. [Abstract Noun -> Verb (enact)] Senses: 1) to owe; 2) to be indebted
ninaltui | ninaltu u→i | To tax | To impose a tax on. [Abstract Noun -> Verb (feel/enact)] Senses: 1) tax; 2) levy
nodoglui | nodoglu u→i | Tip / To tip | To give extra money for good service. [Abstract Noun -> Verb (feel/enact)] Senses: 1) tip; 2) give a gratuity
nojai | noja a→i | To see | To perceive with the eyes; to see or watch. [Biological Noun -> Verb (act as)] Senses: 1) to see; 2) to observe
nokyi | noky y→i | To descend | To move downward; to descend, lower. [Preposition -> Verb (relational motion)] Senses: 1) descend; 2) go down
nozei | noze e→i | To be zero | Stative: to be or become zero. [Modifier -> Verb (stative)] Senses: 1) to be zero; 2) to become zero
nufei | nufe e→i | To be empty | Stative: to be or become empty. [Modifier -> Verb (stative)] Senses: 1) to be empty; 2) to become empty
nupai | nupa a→i | To parent | To raise and care for a child; to parent. [Biological Noun -> Verb (act as)] Senses: 1) parent; 2) raise
nytai | nyta a→i | To smell | To perceive odor with the nose. [Biological Noun (organ) -> Verb (use the organ)] Senses: 1) to smell; 2) to sniff; 3) to perceive odor
ocfei | ocfe e→i | To be fake | Stative: to be or become fake. [Modifier -> Verb (stative)] Senses: 1) to be fake; 2) to become fake
odazei | odaze e→i | To be sudden | Stative: to be or become sudden. [Modifier -> Verb (stative)] Senses: 1) to be sudden; 2) to become sudden
oegei | oege e→i | To be secret | Stative: to be or become secret. [Modifier -> Verb (stative)] Senses: 1) to be secret; 2) to become secret
ogirui | ogiru u→i | To experience | To live through; to experience. [Abstract Noun -> Verb (feel/enact)] Senses: 1) experience; 2) undergo
ojesei | ojese e→i | To be rare | Stative: to be or become rare. [Modifier -> Verb (stative)] Senses: 1) to be rare; 2) to become rare
oksei | okse e→i | To be wrong | Stative: to be or become wrong. [Modifier -> Verb (stative)] Senses: 1) to be wrong; 2) to become wrong
onexei | onexe e→i | To be approximately | Stative: to be or become approximately. [Modifier -> Verb (stative)] Senses: 1) to be approximately; 2) to become approximately
orvei | orve e→i | To be poisonous | Stative: to be or become poisonous. [Modifier -> Verb (stative)] Senses: 1) to be poisonous; 2) to become poisonous
otmai | otma a→i | To sicken | To become or make diseased; to sicken. [Biological Noun -> Verb (act as)] Senses: 1) to sicken; 2) to fall ill
otrei | otre e→i | To be other | Stative: to be or become other. [Modifier -> Verb (stative)] Senses: 1) to be other; 2) to become other
ovcei | ovce e→i | To be always | Stative: to be or become always. [Modifier -> Verb (stative)] Senses: 1) to be always; 2) to become always
pamui | pamu u→i | To hurt | To feel or cause pain; to hurt or ache. [Abstract Noun -> Verb (feel/enact)] Senses: 1) to hurt; 2) to ache
paryi | pary y→i | To precede | To come or go before; to precede. [Preposition -> Verb (relational motion)] Senses: 1) precede; 2) go before
patei | pate e→i | To be umami | Stative: to be or become umami. [Modifier -> Verb (stative)] Senses: 1) to be umami; 2) to become umami
paxui | paxu u→i | To enjoy | To take pleasure in; to enjoy. [Abstract Noun -> Verb (feel/enact)] Senses: 1) enjoy
pesui | pesu u→i | To sound | To produce or emit a sound. [Abstract Noun -> Verb (feel/enact)] Senses: 1) to sound; 2) to make a sound
pezei | peze e→i | To be later | Stative: to be or become later. [Modifier -> Verb (stative)] Senses: 1) to be later; 2) to become later
pilkei | pilke e→i | To be alive | Stative: to be or become alive. [Modifier -> Verb (stative)] Senses: 1) to be alive; 2) to become alive
pimpefei | pimpefe e→i | To be available | Stative: to be obtainable or accessible. [Modifier -> Verb (stative)] Senses: 1) be available; 2) be accessible
pisei | pise e→i | To be sour | Stative: to be or become sour. [Modifier -> Verb (stative)] Senses: 1) to be sour; 2) to become sour
pixrai | pixra a→i | To bite | To cut or grip with the teeth. [Biological Noun (organ) -> Verb (use the organ)] Senses: 1) to bite; 2) to gnaw; 3) to chomp
plahoi | plaho o→i | To lock | To fasten or secure with a lock. [Concrete Noun -> Verb (use/apply)] Senses: 1) lock; 2) fasten
plolsoi | plolso o→i | to render in money | To render in money; to price or monetize something. [Concrete Noun -> Verb (use/apply)] Senses: 1) to render in money
pobrei | pobre e→i | To be poor | Stative: to be or become poor. [Modifier -> Verb (stative)] Senses: 1) to be poor; 2) to become poor
pogafui | pogafu u→i | To pacify | To bring about peace; to pacify. [Abstract Noun -> Verb (feel/enact)] Senses: 1) to pacify; 2) to make peace
popepei | popepe e→i | To be cool | Stative: to be or become cool. [Modifier -> Verb (stative)] Senses: 1) to be cool; 2) to become cool
